	18.0	8.	307.0	130.0	3504.	12.0	70.	1.	chevrolet chevelle malibu
0	15.0	8.0	350.0	165.0	3693.0	11.5	70.0	1.0	buick skylark 320
1	18.0	8.0	318.0	150.0	3436.0	11.0	70.0	1.0	plymouth satellite
2	16.0	8.0	304.0	150.0	3433.0	12.0	70.0	1.0	amc rebel sst
3	17.0	8.0	302.0	140.0	3449.0	10.5	70.0	1.0	ford torino
4	15.0	8.0	429.0	198.0	4341.0	10.0	70.0	1.0	ford galaxie 500
5	14.0	8.0	454.0	220.0	4354.0	9.0	70.0	1.0	chevrolet impala
6	14.0	8.0	440.0	215.0	4312.0	8.5	70.0	1.0	plymouth fury iii
7	14.0	8.0	455.0	225.0	4425.0	10.0	70.0	1.0	pontiac catalina
8	15.0	8.0	390.0	190.0	3850.0	8.5	70.0	1.0	amc ambassador dpl
9		4.0	133.0	115.0	3090.0	17.5	70.0	2.0	citroen ds-21 pallas
10		8.0	350.0	165.0	4142.0	11.5	70.0	1.0	chevrolet chevelle concours (sw)
11		8.0	351.0	153.0	4034.0	11.0	70.0	1.0	ford torino (sw)
12		8.0	383.0	175.0	4166.0	10.5	70.0	1.0	plymouth satellite (sw)
13		8.0	360.0	175.0	3850.0	11.0	70.0	1.0	amc rebel sst (sw)
14	15.0	8.0	383.0	170.0	3563.0	10.0	70.0	1.0	dodge challenger se
15	14.0	8.0	340.0	160.0	3609.0	8.0	70.0	1.0	plymouth 'cuda 340
16		8.0	302.0	140.0	3353.0	8.0	70.0	1.0	ford mustang boss 302
17	15.0	8.0	400.0	150.0	3761.0	9.5	70.0	1.0	chevrolet monte carlo
18	14.0	8.0	455.0	225.0	3086.0	10.0	70.0	1.0	buick estate wagon (sw)
19	24.0	4.0	113.0	95.0	2372.0	15.0	70.0	3.0	toyota corona mark ii
20	22.0	6.0	198.0	95.0	2833.0	15.5	70.0	1.0	plymouth duster
21	18.0	6.0	199.0	97.0	2774.0	15.5	70.0	1.0	amc hornet
22	21.0	6.0	200.0	85.0	2587.0	16.0	70.0	1.0	ford maverick
23	27.0	4.0	97.0	88.0	2130.0	14.5	70.0	3.0	datsun pl510
24	26.0	4.0	97.0	46.0	1835.0	20.5	70.0	2.0	volkswagen 1131 deluxe sedan
25	25.0	4.0	110.0	87.0	2672.0	17.5	70.0	2.0	peugeot 504
26	24.0	4.0	107.0	90.0	2430.0	14.5	70.0	2.0	audi 100 ls
27	25.0	4.0	104.0	95.0	2375.0	17.5	70.0	2.0	saab 99e
28	26.0	4.0	121.0	113.0	2234.0	12.5	70.0	2.0	bmw 2002
29	21.0	6.0	199.0	90.0	2648.0	15.0	70.0	1.0	amc gremlin
30	10.0	8.0	360.0	215.0	4615.0	14.0	70.0	1.0	ford f250
31	10.0	8.0	307.0	200.0	4376.0	15.0	70.0	1.0	chevy c20
32	11.0	8.0	318.0	210.0	4382.0	13.5	70.0	1.0	dodge d200
33	9.0	8.0	304.0	193.0	4732.0	18.5	70.0	1.0	hi 1200d
34	27.0	4.0	97.0	88.0	2130.0	14.5	71.0	3.0	datsun pl510
35	28.0	4.0	140.0	90.0	2264.0	15.5	71.0	1.0	chevrolet vega 2300
36	25.0	4.0	113.0	95.0	2228.0	14.0	71.0	3.0	toyota corona
37	25.0	4.0	98.0		2046.0	19.0	71.0	1.0	ford pinto
38		4.0	97.0	48.0	1978.0	20.0	71.0	2.0	volkswagen super beetle 117
39	19.0	6.0	232.0	100.0	2634.0	13.0	71.0	1.0	amc gremlin
40	16.0	6.0	225.0	105.0	3439.0	15.5	71.0	1.0	plymouth satellite custom
41	17.0	6.0	250.0	100.0	3329.0	15.5	71.0	1.0	chevrolet chevelle malibu
42	19.0	6.0	250.0	88.0	3302.0	15.5	71.0	1.0	ford torino 500
43	18.0	6.0	232.0	100.0	3288.0	15.5	71.0	1.0	amc matador
44	14.0	8.0	350.0	165.0	4209.0	12.0	71.0	1.0	chevrolet impala
45	14.0	8.0	400.0	175.0	4464.0	11.5	71.0	1.0	pontiac catalina brougham
46	14.0	8.0	351.0	153.0	4154.0	13.5	71.0	1.0	ford galaxie 500
47	14.0	8.0	318.0	150.0	4096.0	13.0	71.0	1.0	plymouth fury iii
48	12.0	8.0	383.0	180.0	4955.0	11.5	71.0	1.0	dodge monaco (sw)
49	13.0	8.0	400.0	170.0	4746.0	12.0	71.0	1.0	ford country squire (sw)
50	13.0	8.0	400.0	175.0	5140.0	12.0	71.0	1.0	pontiac safari (sw)
51	18.0	6.0	258.0	110.0	2962.0	13.5	71.0	1.0	amc hornet sportabout (sw)
52	22.0	4.0	140.0	72.0	2408.0	19.0	71.0	1.0	chevrolet vega (sw)
53	19.0	6.0	250.0	100.0	3282.0	15.0	71.0	1.0	pontiac firebird
54	18.0	6.0	250.0	88.0	3139.0	14.5	71.0	1.0	ford mustang
55	23.0	4.0	122.0	86.0	2220.0	14.0	71.0	1.0	mercury capri 2000
56	28.0	4.0	116.0	90.0	2123.0	14.0	71.0	2.0	opel 1900
57	30.0	4.0	79.0	70.0	2074.0	19.5	71.0	2.0	peugeot 304
58	30.0	4.0	88.0	76.0	2065.0	14.5	71.0	2.0	fiat 124b
59	31.0	4.0	71.0	65.0	1773.0	19.0	71.0	3.0	toyota corolla 1200
60	35.0	4.0	72.0	69.0	1613.0	18.0	71.0	3.0	datsun 1200
61	27.0	4.0	97.0	60.0	1834.0	19.0	71.0	2.0	volkswagen model 111
62	26.0	4.0	91.0	70.0	1955.0	20.5	71.0	1.0	plymouth cricket
63	24.0	4.0	113.0	95.0	2278.0	15.5	72.0	3.0	toyota corona hardtop
64	25.0	4.0	97.5	80.0	2126.0	17.0	72.0	1.0	dodge colt hardtop
65	23.0	4.0	97.0	54.0	2254.0	23.5	72.0	2.0	volkswagen type 3
66	20.0	4.0	140.0	90.0	2408.0	19.5	72.0	1.0	chevrolet vega
67	21.0	4.0	122.0	86.0	2226.0	16.5	72.0	1.0	ford pinto runabout
68	13.0	8.0	350.0	165.0	4274.0	12.0	72.0	1.0	chevrolet impala
69	14.0	8.0	400.0	175.0	4385.0	12.0	72.0	1.0	pontiac catalina
70	15.0	8.0	318.0	150.0	4135.0	13.5	72.0	1.0	plymouth fury iii
71	14.0	8.0	351.0	153.0	4129.0	13.0	72.0	1.0	ford galaxie 500
72	17.0	8.0	304.0	150.0	3672.0	11.5	72.0	1.0	amc ambassador sst
73	11.0	8.0	429.0	208.0	4633.0	11.0	72.0	1.0	mercury marquis
74	13.0	8.0	350.0	155.0	4502.0	13.5	72.0	1.0	buick lesabre custom
75	12.0	8.0	350.0	160.0	4456.0	13.5	72.0	1.0	oldsmobile delta 88 royale
76	13.0	8.0	400.0	190.0	4422.0	12.5	72.0	1.0	chrysler newport royal
77	19.0	3.0	70.0	97.0	2330.0	13.5	72.0	3.0	mazda rx2 coupe
78	15.0	8.0	304.0	150.0	3892.0	12.5	72.0	1.0	amc matador (sw)
79	13.0	8.0	307.0	130.0	4098.0	14.0	72.0	1.0	chevrolet chevelle concours (sw)
80	13.0	8.0	302.0	140.0	4294.0	16.0	72.0	1.0	ford gran torino (sw)
81	14.0	8.0	318.0	150.0	4077.0	14.0	72.0	1.0	plymouth satellite custom (sw)
82	18.0	4.0	121.0	112.0	2933.0	14.5	72.0	2.0	volvo 145e (sw)
83	22.0	4.0	121.0	76.0	2511.0	18.0	72.0	2.0	volkswagen 411 (sw)
84	21.0	4.0	120.0	87.0	2979.0	19.5	72.0	2.0	peugeot 504 (sw)
85	26.0	4.0	96.0	69.0	2189.0	18.0	72.0	2.0	renault 12 (sw)
86	22.0	4.0	122.0	86.0	2395.0	16.0	72.0	1.0	ford pinto (sw)
87	28.0	4.0	97.0	92.0	2288.0	17.0	72.0	3.0	datsun 510 (sw)
88	23.0	4.0	120.0	97.0	2506.0	14.5	72.0	3.0	toyouta corona mark ii (sw)
89	28.0	4.0	98.0	80.0	2164.0	15.0	72.0	1.0	dodge colt (sw)
90	27.0	4.0	97.0	88.0	2100.0	16.5	72.0	3.0	toyota corolla 1600 (sw)
91	13.0	8.0	350.0	175.0	4100.0	13.0	73.0	1.0	buick century 350
92	14.0	8.0	304.0	150.0	3672.0	11.5	73.0	1.0	amc matador
93	13.0	8.0	350.0	145.0	3988.0	13.0	73.0	1.0	chevrolet malibu
94	14.0	8.0	302.0	137.0	4042.0	14.5	73.0	1.0	ford gran torino
95	15.0	8.0	318.0	150.0	3777.0	12.5	73.0	1.0	dodge coronet custom
96	12.0	8.0	429.0	198.0	4952.0	11.5	73.0	1.0	mercury marquis brougham
97	13.0	8.0	400.0	150.0	4464.0	12.0	73.0	1.0	chevrolet caprice classic
98	13.0	8.0	351.0	158.0	4363.0	13.0	73.0	1.0	ford ltd
99	14.0	8.0	318.0	150.0	4237.0	14.5	73.0	1.0	plymouth fury gran sedan
100	13.0	8.0	440.0	215.0	4735.0	11.0	73.0	1.0	chrysler new yorker brougham
101	12.0	8.0	455.0	225.0	4951.0	11.0	73.0	1.0	buick electra 225 custom
102	13.0	8.0	360.0	175.0	3821.0	11.0	73.0	1.0	amc ambassador brougham
103	18.0	6.0	225.0	105.0	3121.0	16.5	73.0	1.0	plymouth valiant
104	16.0	6.0	250.0	100.0	3278.0	18.0	73.0	1.0	chevrolet nova custom
105	18.0	6.0	232.0	100.0	2945.0	16.0	73.0	1.0	amc hornet
106	18.0	6.0	250.0	88.0	3021.0	16.5	73.0	1.0	ford maverick
107	23.0	6.0	198.0	95.0	2904.0	16.0	73.0	1.0	plymouth duster
108	26.0	4.0	97.0	46.0	1950.0	21.0	73.0	2.0	volkswagen super beetle
109	11.0	8.0	400.0	150.0	4997.0	14.0	73.0	1.0	chevrolet impala
110	12.0	8.0	400.0	167.0	4906.0	12.5	73.0	1.0	ford country
111	13.0	8.0	360.0	170.0	4654.0	13.0	73.0	1.0	plymouth custom suburb
112	12.0	8.0	350.0	180.0	4499.0	12.5	73.0	1.0	oldsmobile vista cruiser
113	18.0	6.0	232.0	100.0	2789.0	15.0	73.0	1.0	amc gremlin
114	20.0	4.0	97.0	88.0	2279.0	19.0	73.0	3.0	toyota carina
115	21.0	4.0	140.0	72.0	2401.0	19.5	73.0	1.0	chevrolet vega
116	22.0	4.0	108.0	94.0	2379.0	16.5	73.0	3.0	datsun 610
117	18.0	3.0	70.0	90.0	2124.0	13.5	73.0	3.0	maxda rx3
118	19.0	4.0	122.0	85.0	2310.0	18.5	73.0	1.0	ford pinto
119	21.0	6.0	155.0	107.0	2472.0	14.0	73.0	1.0	mercury capri v6
120	26.0	4.0	98.0	90.0	2265.0	15.5	73.0	2.0	fiat 124 sport coupe
121	15.0	8.0	350.0	145.0	4082.0	13.0	73.0	1.0	chevrolet monte carlo s
122	16.0	8.0	400.0	230.0	4278.0	9.5	73.0	1.0	pontiac grand prix
123	29.0	4.0	68.0	49.0	1867.0	19.5	73.0	2.0	fiat 128
124	24.0	4.0	116.0	75.0	2158.0	15.5	73.0	2.0	opel manta
125	20.0	4.0	114.0	91.0	2582.0	14.0	73.0	2.0	audi 100ls
126	19.0	4.0	121.0	112.0	2868.0	15.5	73.0	2.0	volvo 144ea
127	15.0	8.0	318.0	150.0	3399.0	11.0	73.0	1.0	dodge dart custom
